,ColumnName,Description,dtype,missing,Unique,Top,Bottom
0,loan_amnt,,int64,0,854,"{""loan_amnt"":{""10000"":2696,""12000"":2152,""5000"":1985}}","{""loan_amnt"":{""19250"":1,""17300"":1,""15650"":1}}"
1,funded_amnt,,int64,0,989,"{""funded_amnt"":{""10000"":2611,""12000"":2065,""5000"":1973}}","{""funded_amnt"":{""19625"":1,""20550"":1,""22350"":1}}"
2,funded_amnt_inv,,float64,0,7592,"{""funded_amnt_inv"":{""5000.0"":1269,""10000.0"":1214,""6000.0"":1155}}","{""funded_amnt_inv"":{""5695.353089"":1,""6321.184651"":1,""150.0"":1}}"
3,term,,object,0,2,"{""term"":{"" 36 months"":27798,"" 60 months"":8956}}","{""term"":{"" 36 months"":27798,"" 60 months"":8956}}"
4,int_rate,,float64,0,370,"{""int_rate"":{""10.99"":866,""7.51"":769,""11.49"":760}}","{""int_rate"":{""24.4"":1,""18.36"":1,""15.01"":1}}"
5,installment,,float64,0,14602,"{""installment"":{""311.11"":65,""180.96"":56,""311.02"":53}}","{""installment"":{""215.74"":1,""45.78"":1,""255.43"":1}}"
6,grade,,object,0,7,"{""grade"":{""B"":11123,""A"":9677,""C"":7497}}","{""grade"":{""E"":2454,""F"":889,""G"":264}}"
7,sub_grade,,object,0,35,"{""sub_grade"":{""A4"":2758,""B3"":2662,""A5"":2612}}","{""sub_grade"":{""G4"":45,""G3"":41,""G5"":22}}"
8,emp_length,,object,1015,11,"{""emp_length"":{""10+ years"":7923,""< 1 year"":4338,""2 years"":4112}}","{""emp_length"":{""7 years"":1646,""8 years"":1347,""9 years"":1154}}"
9,home_ownership,,object,0,5,"{""home_ownership"":{""RENT"":18050,""MORTGAGE"":15750,""OWN"":2858}}","{""home_ownership"":{""OWN"":2858,""OTHER"":93,""NONE"":3}}"
10,annual_inc,,float64,0,4780,"{""annual_inc"":{""60.0"":1466,""50.0"":1030,""40.0"":855}}","{""annual_inc"":{""25.3"":1,""53.086"":1,""27.376"":1}}"
11,verification_status,,object,0,3,"{""verification_status"":{""Not Verified"":16306,""Verified"":11269,""Source Verified"":9179}}","{""verification_status"":{""Not Verified"":16306,""Verified"":11269,""Source Verified"":9179}}"
12,issue_d,,datetime64[ns],0,55,"{""issue_d"":{""1322697600000"":1970,""1320105600000"":1965,""1317427200000"":1817}}","{""issue_d"":{""1183248000000"":24,""1188604800000"":15,""1180656000000"":1}}"
13,loan_status,,object,0,2,"{""loan_status"":{""Fully Paid"":31325,""Charged Off"":5429}}","{""loan_status"":{""Fully Paid"":31325,""Charged Off"":5429}}"
14,purpose,,object,0,14,"{""purpose"":{""debt_consolidation"":17349,""credit_card"":4792,""other"":3707}}","{""purpose"":{""house"":338,""educational"":312,""renewable_energy"":95}}"
15,zip_code,,object,0,818,"{""zip_code"":{""945xx"":498,""100xx"":493,""112xx"":488}}","{""zip_code"":{""592xx"":1,""414xx"":1,""469xx"":1}}"
16,addr_state,,object,0,50,"{""addr_state"":{""CA"":6580,""NY"":3469,""FL"":2661}}","{""addr_state"":{""NE"":5,""ID"":5,""ME"":3}}"
17,dti,,float64,0,2848,"{""dti"":{""0.0"":170,""18.0"":44,""12.0"":42}}","{""dti"":{""25.91"":1,""0.19"":1,""25.43"":1}}"
18,delinq_2yrs,,int64,0,11,"{""delinq_2yrs"":{""0"":32798,""1"":3042,""2"":618}}","{""delinq_2yrs"":{""8"":2,""9"":1,""11"":1}}"
19,inq_last_6mths,,int64,0,9,"{""inq_last_6mths"":{""0"":17904,""1"":10168,""2"":5354}}","{""inq_last_6mths"":{""6"":58,""7"":32,""8"":11}}"
20,open_acc,,int64,0,40,"{""open_acc"":{""7"":3779,""6"":3721,""8"":3679}}","{""open_acc"":{""44"":1,""41"":1,""42"":1}}"
21,pub_rec,,int64,0,5,"{""pub_rec"":{""0"":34732,""1"":1968,""2"":46}}","{""pub_rec"":{""2"":46,""3"":6,""4"":2}}"
22,total_acc,,int64,0,81,"{""total_acc"":{""15"":1388,""16"":1380,""14"":1374}}","{""total_acc"":{""74"":1,""78"":1,""80"":1}}"
23,pub_rec_bankruptcies,,float64,660,3,"{""pub_rec_bankruptcies"":{""0.0"":34488,""1.0"":1601,""2.0"":5}}","{""pub_rec_bankruptcies"":{""0.0"":34488,""1.0"":1601,""2.0"":5}}"
